harmless,arms,2,exotic,radiant,,1,Yes,Pacify creatures instead of harming them.,"Whenever you would deal damage to another creature due to hitting them with an attack, apply a stack of pacified instead.",pacifist
sparing,arms,2,exotic,arcane,,1,Yes,Banish creatures instead of harming them.,"Whenever you would deal damage to another creature due to hitting them with an attack, apply a stack of banished instead.",pacifist
swingy,arms,2,exotic,,,1,Yes,Roll three d20s when you have advantage or disadvantage.,"Whenever you have advantage or disadvantage on an attack, roll three d20s instead of two.",advantage
double down,arms,2,exotic,,,0,Yes,Advantage and disadvantage stack.,"Advantage and disadvantage on your attack rolls stack an additional time, causing the roll to use one more d20.",advantage
subtlety,arms,2,exotic,,,1,Yes,Sacrifice damage for better afflictions.,"You can no longer deal damage, but apply twice as many stacks of afflictions as you normally would.",affliction
reflection,arms,2,exotic,,,1,No,Reflect ranged basic attacks when you block.,"Whenever you use your Block reaction on a ranged basic attack, reflect the attack at its attacker completely using the same attack roll rather than absorbing damage.",blocking
go for the throat,arms,2,exotic,,,1,No,Your basic attacks deal maximized damage against creatures who are prone.,Your basic attacks deal maximized damage against creatures who are prone.,brawling
tossing,arms,2,exotic,,,1,No,Throw allies and enemies long distances when you shove them.,"Whenever you hit a creature with a Shove attack, you may choose to toss it. Make a Prowess (Athletics) skill check. You may throw the creature into an empty tile of your choice that is at most that many feet away. It is easier to throw smaller creatures; this distance is modified by 10 feet for the difference between your size and the target's size.",brawling
metronome,arms,2,exotic,,,1,Yes,Every third attack is a critical hit.,Every third attack that you strike with is treated as a critical hit. You cannot benefit from any other critical hits.,critical
consistent strikes,arms,2,exotic,,,1,Yes,Roll 3d6 + 2 rather than a d20 for your attack rolls.,Roll 3d6 + 2 rather than a d20 for your attack rolls.,luck
boomeranging,arms,2,exotic,,returning,1,No,Hit a second creature on the return of your thrown weapon.,"When your thrown weapon returns to your hand, you may choose to have the weapon strike a different creature in a line between you and that creature, making an additional basic attack against them.",thrown
assured attacks,arms,3,advanced,specified,,0,No,Apply a guaranteed condition when you hit with an attack.,Apply one stack of the specified condtion whenever you hit with an attack.,condition
devastating,arms,3,advanced,,,1,No,"Critical hits triple, rather than double.","Whenever you land a critical hit, roll damage three times rather than twice, apply three times the number of conditions and afflictions and the duration of all effects applied is tripled rather then doubled.",critical
absolute zero,arms,3,exotic,water,,1,No,Nearby chilled creatures cannot spend movement.,Chilled creatures within 30 feet of you cannot spend movement.,condition
tight wrap,arms,3,exotic,primal,,1,No,Nearby rooted creatures have disadvantage on basic attacks.,Rooted creatures within 30 feet of you have disadvantage on basic attacks.,condition
teledisplacement,arms,3,exotic,arcane,,1,No,Banish creatures when you suddenly appear in their tile.,"You may now teleport into occupied tiles, as well as reappearing into them after being banished. When you do, apply banished to the previous occupant.",displacement
extra turn,arms,3,advanced,,monster,0,No,The monster takes an extra turn in combat.,The number of turns this monster gets in combat is increased by their base turns per round. Their life and essence total do not change.,
