Name,Slot,Cost,Type,Elements,Prerequisites,Max Replicates,Double-Edged,Short,Description,Tags
carry off,armor,1,advanced,,,1,No,Drag foes quickly.,You have advantage on skill checks made to maintain a Grapple. You may move at full speed while dragging creatures you have grappled.,"grappling, movement"
arcane hourglass,armor,1,exotic,arcane,,1,Yes,Disappear from the world for a while.,"As a minor action, you may apply 3 stacks of banished to yourself.",
wind ward,armor,1,advanced,air,,1,No,Deflect projectiles with a strong wind.,Ranged attacks which deal physical or earth damage have disadvantage against you.,elements
toughness,armor,1,advanced,,,1,Yes,Defend to become resistant to damage.,"Whenever you take the Defend major action, gain resistance to all damage until the end of your next turn instead of imposing disadvantage on attacks against you.",defend
conservation,armor,1,exotic,electric,,1,Yes,Carry over unused movement between rounds.,"At the beginning of each round, gain movement equal to the amount of unspent movement you had at the end of last round. You can only gain movement up to twice your base movement speed saved up this way.",movement
dimensional stabilizer,armor,1,exotic,arcane,,1,Yes,Block nearby teleportation.,Creatures cannot teleport into or out of a 10 foot radius around you.,?
evasion,armor,1,advanced,,,1,No,Attacks of opportunity against you often miss.,Attacks of opportunity made against you have disadvantage.,threaten
tidal armor,armor,1,exotic,water,,1,Yes,Alternate between advantage and disadvantage on attacks aginst you.,"At the start of combat, gain ebb. At the start of your turn if you have ebb, gain flow, which grants advantage on all attacks made against you. At the start of your turn if you have flow, gain ebb, which inflicts disadvantage on all attacks made against you.",advantage
adaptive defense,armor,1,prismatic,,,1,No,Adapt to the damage you take.,"After you take damage, gain resistance to that damage type and lose any previous resistance gained from this affix.",elements
mirror splitting,armor,1,exotic,corrosion,,1,No,Your split copies are larger.,Your copies produced by splitting are the same size as you.,splitting
splitting,armor,1,exotic,corrosion,,1,No,Split into two copies,"When you are reduced to half health or below, split into two separate creatures, seperated by 5 feet. They each have half your current life and each take up 1 less tile than your current size. These copies do not have the splitting property. On each of your turns, you may select one of them to act.",splitting
unstable splitting,armor,1,exotic,corrosion,,1,No,Split when you lose life.,"Whenever you lose life, split as per the splitting affix.",splitting
balance,armor,2,exotic,"primal, decay",,0,Yes,Your life total tends towards half life.,"At the end of each of your turns in which you are above half life, lose 4 life. At the end of each of your turns in which you are above zero life but below half life, restore 4 life.",healing
generous purification,armor,2,advanced,radiant,,0,Yes,Remove conditions from those that are close to you.,"At the end of each of your turns, remove one condition of your choice from each creature within a 5 foot radius of you.","support, condition"
emergency protocol,armor,2,advanced,"electric, arcane",,0,No,Losing life banishes you temporarily.,"Whenever you lose life, you are banished until the start of your next turn.",reactive
regenerative shielding,armor,2,advanced,primal,,0,No,Healing also gives you absorption.,"Whenever you regain life, gain that much absorption.",absorption
erratic,armor,2,exotic,,,0,Yes,Double down on advantage for attacks against you.,"Advantage and disadvantage on attack rolls against you can stack twice, causing the roll to use three dice rather than two.",luck
rally,armor,2,exotic,radiant,,1,No,You refuse to fall with your ally.,"Whenever an allied player character within 120 feet of you is reduced to below 0 life, you have resistance to all damage until the end of the encounter.",?
stealthy,armor,2,advanced,,,1,No,You have advantage on Stealth skill checks.,You have advantage on Stealth skill checks.,stealth
immovable,armor,2,advanced,earth,,1,No,You are impossible to move.,"You are immune to forced movement, including teleportatation, and cannot be knocked prone.",counter
arcane refuge,armor,2,exotic,arcane,,1,No,You are banished when you defend.,"Whenever you take the Defend major action, you are banished until the start of your next turn.",defend
gear shift,armor,2,exotic,"earth, electric",,1,Yes,Shift between speed and defense.,"As a minor action, you may choose to change the gear you are in by one. At the start of each of your turns, gain 4 absorption and lose 1 essence for each gear that you are below 0. At the start of each of your turns, gain 15 feet of movement and lose 1 essence for each gear that you are above 0. The absolute value of your gear must always be less than your aptitude bonus.",?
teleportation,armor,2,advanced,arcane,,1,No,Move by teleportation.,"You may move by teleportation, spending movement equal to the distance travelled. Like with all teleportation, this does not provoke attacks of opportunity.",movement
parasitic,armor,2,exotic,"umbral, decay",,1,No,Gain absorption when afflictions tick.,"Whenever a creature within 120 feet of you takes damage from an affliction, gain 1 absorption.","affliction, absorption"
martyrdom,armor,2,exotic,radiant,,1,No,Gain absorption for each stack of affliction.,"At the start of each of your turns, gain absorption equal to the total stacks of afflictions that you have.","affliction, absorption"
duelling,armor,2,exotic,,,1,No,Focus your attention on a single foe.,"At the start of each of your turns, gain the benefit of the Guard minor action. You have disadvantage on attacks against all creatures other than the one you targeted with this action.",advantage
dissipation,armor,2,exotic,electric,,1,Yes,Discharge damage that you took.,"At the end of each turn, deal electric damage equal to half the damage you took this turn to all creatures within 5 feet.",reactive
undying,armor,2,advanced,"primal, decay",,1,No,Automatically spend essence to heal while dying.,"At the start of each turn in which your life is below 0, spend essence equal to your aptitude bonus and gain twice that much life. This functions even if you are unconscious or otherwise unable to act.",healing
buying time,armor,2,exotic,"umbral, arcane",,1,No,Accumulate damage taken.,"Prevent all damage that would be dealt to you other than by this effect: it accumulates instead. At the end of each of your turns, take all of the damage that has been accrued as if you had just been hit.",absorption
healthy splitting,armor,2,exotic,corrosion,,1,No,Your split copies are healthier.,"Whenever you split, your copies have as much maximum and current life as your current life.",splitting
healing purification,armor,3,exotic,radiant,,0,No,Remove conditions when you heal.,"Whenever you regain health, remove a condition of your choice from yourself.",condition
revitilization,armor,3,advanced,primal,,0,No,Remove a condition at the start of your turn.,"At the start of your turn, remove a condition of your choice from yourself.",condition
shadowy,armor,3,advanced,umbral,,1,No,You are shrouded in darkness.,A 5 foot radius around you is always darkness. You can see perfectly in darkness.,senses
shining,armor,3,exotic,radiant,,1,No,"Shed bright, blinding light.",Shed  bright light in a 15 foot radius. Enemies within that light have disadvantage on basic attacks.,advantage
echo of life,armor,3,exotic,primal,,1,No,Healing echoes.,"Whenever you regain life, gain half that much life rounded down at the start of your next turn.",healing
rejuvenation,armor,3,advanced,primal,,1,No,Conditions and afflictions on you only last one turn.,"At the end of each of your turns, remove all stacks of all conditions and afflictions from yourself.","condition, affliction"
spore cloud,armor,3,advanced,primal,,1,Yes,Apply a condition to those around you when you lose life.,"Whenever you lose life, apply the specified condition to all creatuers within 5 feet of you.",condition
echo of absorption,armor,3,exotic,"earth, radiant",,1,No,Absorption echoes.,"At the start of your turn, gain half as much absorption, rounded down, as you just lost.",absorption
priority purification,armor,1,exotic,radiant,,0,Yes,Absorption removes conditions first.,"Whenever you would gain absorption and have at least one stack of a condition, remove a condition of your choice from yourself instead.",
